Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year,Distance,home_win,home_team_form
"17,575",Torino,2022-03-06,Sun,Bologna,0-0,15:00,Stadio Renato Dall'Ara,(0-0),2022,296.06999057922300,0,0.5
"7,180",Cagliari,2022-03-12,Sat,Spezia,2-0,15:00,Stadio Alberto Picco,(0-0),2022,547.3620764334330,1,0.5
"48,801",Empoli,2022-03-12,Sat,AC Milan,1-0,20:45,Stadio Giuseppe Meazza,(1-0),2022,243.0688212434200,1,0.5
"16,644",Juventus,2022-03-12,Sat,Sampdoria,1-3,18:00,Stadio Comunale Luigi Ferraris,(0-2),2022,129.26585903174700,0,0.5
"10,249",Sassuolo,2022-03-12,Sat,Salernitana,2-2,15:00,Stadio Arechi,(1-2),2022,566.7104826059690,0,0.5
"15,114",AS Roma,2022-03-13,Sun,Udinese,1-1,18:00,Dacia Arena,(1-0),2022,464.67909792520700,0,0.5
"22,635",Bologna,2022-03-13,Sun,Fiorentina,1-0,12:30,Stadio Artemio Franchi,(0-0),2022,79.07732589754690,1,0.5
"9,140",Genoa,2022-03-13,Sun,Atalanta,0-0,18:00,Stadio Atleti Azzurri d'Italia,(0-0),2022,154.6880908683670,0,0.5
"15,363",Inter Milan,2022-03-13,Sun,Torino,1-1,20:45,Stadio Olimpico di Torino,(1-0),2022,125.26280395239400,0,0.5
"18,782",Napoli,2022-03-13,Sun,Hellas Verona,1-2,15:00,Stadio Marc'Antonio Bentegodi,(0-1),2022,575.0602598611650,0,0.5
"18,000",Venezia,2022-03-14,Mon,Lazio,1-0,20:45,Stadio Olimpico,(0-0),2022,388.23996014146600,1,0.5
"6,130",Spezia,2022-03-18,Fri,Sassuolo,4-1,18:45,Mapei Stadium - Città del Tricolore,(1-1),2022,95.48887672398410,1,0.5
"14,961",Torino,2022-03-18,Fri,Genoa,1-0,21:00,Stadio Comunale Luigi Ferraris,(1-0),2022,124.3883982813310,1,0.5
"12,309",AC Milan,2022-03-19,Sat,Cagliari,0-1,20:45,Unipol Domus,(0-0),2022,697.4502556886710,0,0.5
"54,988",Fiorentina,2022-03-19,Sat,Inter Milan,1-1,18:00,Stadio Giuseppe Meazza,(0-0),2022,254.93627880825600,0,0.5
