Away,Date,Half_time,Home,Score
 Fiorentina,Sa 22 May,(0-0),Crotone ,0 - 0
 Parma,Sa 22 May,(2-0),Sampdoria ,3 - 0
 Udinese,Su 23 May,(2-0),Inter Milan ,5 - 1
 AC Milan,Su 23 May,(0-1),Atalanta ,0 - 2
 Juventus,Su 23 May,(0-3),Bologna ,1 - 4
 Hellas Verona,Su 23 May,(0-0),Napoli ,1 - 1
 Lazio,Su 23 May,(1-0),Sassuolo ,2 - 0
 AS Roma,Su 23 May,(2-0),Spezia ,2 - 2
 Benevento,Su 23 May,(1-0),Torino ,1 - 1
542,  ,316,"Totals, ",621
 ,"Averages, ",0.57,1.63,1.43
 ,"Percentages, ",57%,53%,47%
," ,Latest results",,,
," ,Matches by date",,,
," ,Matches by matchday",,,
," ,Results grid",,,
," ,Home / Away tables",,,
," ,Wide table",,,
," ,Form tables",,,
," ,Goals statistics",,,
," ,Relative performance",,,
," ,Over / Under",,,
," ,Scored / Conceded",,,
," ,Home advantage",,,
," ,Relative form",,,
," ,Run-in analysis",,,
," ,When goals were scored",,,
," ,1st-half / 2nd-half",,,
," ,First team to score",,,
," ,Goal types",,,
," ,Lead durations",,,
